measured in ug/mg,SampID,Dry_Weight,Species,Site,Sex,SL.mm,Tissue,Date_harvested,Time_harvested,Al,As,B ,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,K ,Li,Mg,Mn,Mo,Na,Ni,P ,Pb,S ,Se,Si,Sr,Tl,V ,Zn,z-Al,z-As,z-B,z-Ba,z-Be,z-Bi,z-Ca,z-Cd,z-Co,z-Cr,z-Cu,z-Fe,z-K,z-Li,z-Mg,z-Mn,z-Mo,z-Na,z-Ni,z-P,z-Pb,z-S,z-Se,z-Si,z-Sr,z-Tl,z-V,z-Zn
137,I137,0.938,Gambusia_affinis,CC,F,42,Brain,5/14/18,12:45,0.028386244,0.00498887,0.00567305,0.100518671,0.000371343,0.022245598,0.594288586,0.000939315,0.004405891,0.002717507,0.006989573,0.032676009,11.05463026,0.000917243,0.620900241,0.001935437,0.003183097,5.302990814,0.005628838,18.04508065,0.019749599,8.821111027,0.030882419,0.013034233,0.001038537,0.145701742,0.005933184,0.040704032,-0.007138242,-0.100728731,0.046492619,0.049541107,0.053015591,0.064976111,-1.116931974,-0.087834536,0.061647574,-0.040850817,-0.183254831,-0.447528986,#VALUE!,#VALUE!,#VALUE!,-0.845321205,0.044172777,#VALUE!,0.053354607,-0.994016998,0.061214677,-0.370307266,0.059288926,-0.145671026,-0.959929278,0.061212401,0.060353936,-1.008402167
140,I140,1.733,Gambusia_affinis,CC,F,46,Brain,5/14/18,12:45,0.01536428,0.004499049,0.003070583,0.054557959,0.000200992,0.012040606,0.433118306,0.000508412,0.002384723,0.001470872,0.005607274,0.034698483,10.2560147,0.000328001,0.524280089,0.002403774,0.001722877,4.539157075,0.003046653,15.73210742,0.010689627,7.5320088,0.016715355,0.007054882,0.001285997,0.078862224,0.003211383,0.070167075,-0.211125346,-0.113687913,-0.172019973,-0.168463687,-0.150928557,-0.152226587,-1.125439253,-0.249531377,-0.15585474,-0.24588947,-0.221334391,-0.4452614,#VALUE!,#VALUE!,#VALUE!,-0.83214858,-0.17308399,#VALUE!,-0.164949231,-1.253391639,-0.156318585,-0.833221982,-0.159075951,-0.151349684,-0.947716484,-0.156329872,-0.157109266,-0.792907244
143,I143,0.903,Gambusia_affinis,CC,F,35,Brain,5/14/18,12:45,0.029486486,0.005182237,0.005892935,0.10423382,0.000385736,0.02310783,0.426791847,0.000975723,0.004576662,0.002822837,0.007260487,0.009540669,11.04320336,0.000743584,0.662511337,0.002829977,0.003306473,3.336031811,0.00584701,18.19705214,0.020515087,8.770893348,0.032079412,0.023484976,0.000742667,0.151349096,0.006163152,0.047882341,0.010096883,-0.095612825,0.064954963,0.067163121,0.070246885,0.083327827,-1.125773191,-0.074172392,0.080024615,-0.023526804,-0.175791695,-0.473468195,#VALUE!,#VALUE!,#VALUE!,-0.820161032,0.062529101,#VALUE!,0.071799367,-0.976975058,0.079594326,-0.388340361,0.077738848,-0.135745835,-0.974531232,0.079592818,0.078727644,-0.955899473
147,I147,0.955,Gambusia_affinis,CC,F,40,Brain,5/14/18,12:45,0.027880939,0.013628115,0.005572063,0.09920158,0.000364733,0.021849603,3.511403213,0.000922595,0.004327462,0.002911294,0.006865151,0.088193604,9.363015921,0.000811766,0.656859733,0.008486158,0.003126435,4.601172867,0.005528639,17.62841019,0.019398035,7.454150404,0.03033268,0.01280221,0.003560114,0.143108098,0.005827567,0.080569051,-0.015053768,0.127839559,0.038013383,0.043293768,0.045102102,0.056547767,-0.962953797,-0.094108735,0.053207657,-0.008977955,-0.186682407,-0.385282983,#VALUE!,#VALUE!,#VALUE!,-0.66107313,0.035742401,#VALUE!,0.044883554,-1.040742031,0.052773496,-0.861180818,0.050815491,-0.145891381,-0.8354829,0.05277088,0.051915475,-0.716826405
160,I160,0.536,Gambusia_affinis,CC,M,25,Brain,5/14/18,20:40,0.049675927,0.027672344,0.009927837,0.175524413,0.000649851,0.038929796,1.203677235,0.001643802,0.007710309,0.004755637,0.012231753,0.008213573,9.74316856,0.003816629,0.575717856,0.006221001,0.00557042,3.416223067,0.009850467,15.89873279,0.034561798,8.306864509,0.054044234,0.022809908,0.013546453,0.254978048,0.010383072,0.09841699,0.326361436,0.499407376,0.403740005,0.405314781,0.386445257,0.420082006,-1.084765754,0.176525012,0.417243229,0.294367935,-0.038843307,-0.474956127,#VALUE!,#VALUE!,#VALUE!,-0.724783799,0.399367253,#VALUE!,0.410260797,-1.234706427,0.416861026,-0.554972435,0.416294927,-0.136386954,-0.342631115,0.416873493,0.415885767,-0.58628523
163,I163,0.726,Gambusia_affinis,CC,M,24,Brain,5/14/18,20:40,0.03667534,0.006445675,0.007329643,0.128911122,0.00047978,0.028741557,0.434510513,0.001213606,0.00569246,0.003511049,0.009030605,0.060494152,15.34045221,0.000575965,0.783449029,0.003085036,0.004112597,3.619332262,0.007272521,20.26280455,0.025516699,10.72608132,0.039900426,0.016840373,0.00157676,0.188248256,0.007665739,0.04075647,0.122709198,-0.062186077,0.18558619,0.184214618,0.182836324,0.203235879,-1.125365766,0.015093474,0.20009808,0.08966596,-0.127028501,-0.416339447,#VALUE!,#VALUE!,#VALUE!,-0.812987146,0.18246712,#VALUE!,0.192315334,-0.745323527,0.19968487,0.313764767,0.198288508,-0.142056291,-0.933366574,0.199688345,0.198779544,-1.008018632
166,I166,0.54,Gambusia_affinis,CC,M,28,Brain,5/14/18,20:40,0.049307957,0.008665852,0.009854297,0.173313841,0.000645037,0.038641427,1.547482584,0.001631625,0.007653196,0.00472041,0.012141147,0.008152732,9.414809517,0.000774353,0.605611416,0.003498891,0.005529158,3.833840372,0.0097775,16.65808036,0.034305785,7.359582011,0.053643906,0.210643013,0.002824938,0.253089322,0.01030616,0.06447215,0.320597241,-0.003446909,0.397565319,0.394829406,0.380681938,0.413944371,-1.066618191,0.171955579,0.411097174,0.288574021,-0.04133932,-0.475024341,#VALUE!,#VALUE!,#VALUE!,-0.801346902,0.393228144,#VALUE!,0.404092,-1.149553905,0.41071406,-0.895140189,0.410124448,0.042000312,-0.871765746,0.410726265,0.409740744,-0.834560356
194,I194,0.515,Gambusia_affinis,CC,M,26,Brain,5/15/18,19:45,0.051701547,0.029543434,0.010332661,0.181904824,0.000676349,0.040517224,4.755123988,0.001710831,0.00802471,0.004949556,0.012730523,0.015721956,13.10284335,0.001114576,0.820942136,0.010790583,0.005797563,4.304385677,0.010252136,22.6475197,0.035971114,10.599107,0.056247979,0.023740021,0.006483359,0.265375211,0.010806459,0.049467481,0.358092468,0.548910758,0.437730499,0.435578894,0.418168652,0.453868769,-0.897304728,0.201677721,0.451076609,0.326262508,-0.025103196,-0.466537772,#VALUE!,#VALUE!,#VALUE!,-0.596257995,0.433162403,#VALUE!,0.444218815,-0.477903814,0.450699222,0.268168475,0.450262481,-0.135503615,-0.691213161,0.450713092,0.449713036,-0.944305639
205,I205,0.544,Gambusia_affinis,CC,M,25,Brain,5/16/18,20:45,0.048945399,0.008602133,0.009781839,0.172039475,0.000640294,0.038357299,1.134812745,0.001619628,0.007596922,0.004685701,0.012051874,0.135168947,12.8134325,0.000768659,0.735288795,0.004951423,0.005488502,3.534607363,0.009705607,20.13221886,0.034053536,10.44550351,0.053249466,0.022474468,0.001238781,0.251228371,0.01023038,0.039851956,0.314917825,-0.005132721,0.391481482,0.388784724,0.37500362,0.407897,-1.088400725,0.167453691,0.405041405,0.282865304,-0.043798612,-0.332614502,#VALUE!,#VALUE!,#VALUE!,-0.760492434,0.387179199,#VALUE!,0.398014001,-0.759967283,0.404657468,0.213009688,0.404044724,-0.136705526,-0.950046717,0.404669436,0.403686164,-1.014634316
208,I208,0.815,Gambusia_affinis,CC,M,22,Brain,5/16/18,20:45,0.032670303,0.005741792,0.006529228,0.121167021,0.000427386,0.025602909,85.85952089,0.001081077,0.005070829,0.003127634,0.008044441,0.027108997,10.36858407,0.004511744,0.549737632,0.00728042,0.003663491,3.598944943,0.006478344,16.10904907,0.022730213,7.900568573,0.035543202,0.015001363,0.117687669,0.167691084,0.006828622,0.031996508,0.059970897,-0.080808692,0.118380436,0.147482133,0.120110249,0.136433003,3.383743099,-0.034638184,0.133203007,0.026604282,-0.154195338,-0.453770688,#VALUE!,#VALUE!,#VALUE!,-0.694986177,0.115647519,#VALUE!,0.125173791,-1.211121758,0.132780316,-0.700872709,0.131128179,-0.14380282,4.797008565,0.132781011,0.131896571,-1.072089656
